tt,Page,BrandLocale,AV-MX,BB-MX,CL-BR,CL-CE,CL-MX,EL-CE,EL-BR,EL-MX,JM-BR,JM-MX,LM-BR,LM-MX,MC-BR,MC-CE,MC-MX,OR-MX,TF-BR
1,SPP,addToBag,//a[@data-test-id='add-to-cart'][1],"//i[contains(@class,'icon--cart site-bag__link-icon')]|(//a[@data-test-id='add-to-cart'])[1]",//div/button[@data-test-id='add_to_bag_btn'][1],(//button[@data-test-id='add_to_bag_btn'])[1],(//button[@data-test-id='add_to_bag_btn'])[1],"//a[contains(@class,'btn-add-to-bag')][1]|//button[@data-test-id='add-to-cart']","//a[contains(@class,'btn-add-to-bag')][1]|//button[@data-test-id='add-to-cart']","//a[contains(@class,'btn-add-to-bag')][1]|//button[@data-test-id='add-to-cart']","//a[contains(@class,'btn-add-to-bag')][1]|//button[@data-test-id='add-to-cart']",//button[@data-test-id='add_to_bag_btn'],//a[@data-test-id='add-to-cart'],//a[@data-test-id='add-to-cart'][1],"(//a[contains(@data-test-id,'add-to-cart')])[1]","//div[contains(@class,'add-to-bag-full')]/a[@class='product-add-to-bag js-product-add-to-bag']","(//a[contains(@data-test-id,'add-to-cart')])[1]","(//a[contains(@class,'js-add-to-cart')])[1]",//div[@class='product-full__footer']//a[@data-test-id='add-to-cart'][1]|//div[@class='product-quickshop__footer']//a[@data-test-id='add-to-cart'][1]
1,GNAVHEADER,bagProduct,"(//div[contains(@class,'js-cart-block-container')])[2]|//a[contains(@class,'button button--inverted button--full')][1]",//div[@class='product_name cart-item__product-name']|//div[@class='cart-product-name__header'],//div[@class='cart-overlay-products']|//div[@class='prod-details']|//div[@class='shipping  order-summary__shipping ship-label-sec'],//div[@class='cart-overlay-products']|//div[@class='prod-info js-prod-info-offers'],//div[@class='cart-overlay-products']|//div[@class='prod-info js-prod-info-offers'],//div[@data-testid='cart-item-description']|//div[@class='cart-confirm__description'],//div[@data-testid='cart-item-description']|//div[@class='cart-confirm__description'],//div[@data-testid='cart-item-description']|//div[@class='cart-confirm__description'],//div[@data-testid='cart-item-description']|//div[@class='cart-confirm__description'],"//div[@class='product-row__info']|//div[contains(@class,'cart-notification-content')]|//div[@class='cart-items products']","//div[contains(@class,'cart-item__info')]",//div[@class='cart-item__info__header'][1],(//div[@class='cart-product-quantity'])[1]|//div[@class='cart-item clearfix'],(//div[@class='cart-product-quantity'])[1]|//div[@class='info product__desc-info cart-item__desc-info'],(//div[@class='cart-product-quantity'])[1]|//div[@class='cart-item clearfix'],//div[@class='cart-item__info__header'],//div[@class='cart-item__qty']|//div[@class='column product--info cart-items__item--info']
1,SPP,notifyMe,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button,.elc-product-notify-me-button
1,MPP,searchPageProductMob,"//a[contains(@class,'js-spp-link product-brief__extras-link')]",,"(//a[contains(@data-test-id,'clickable_wrapper')])[1]","(//a[contains(@data-test-id,'clickable_wrapper')])[1]","(//a[contains(@data-test-id,'clickable_wrapper')])[1]",,,,,,//a[@class='product-container top-line clearfix first'][1],,.product__name,.product__name,//a[@class='product__name-link js-product__link-to-spp product_header_name'][1],,//a[@class='product-brief__product-link js-spp-link'][1]
1,MPP,searchPageProduct,,,,,,,,,,,,,//a[@class='product__link-to-spp_single_shade js-product__link-to-spp'][1],.product__name,//h3[@class='product__name'][1],,//a[@class='product-brief__product-link js-spp-link'][1]
1,MPP,cartPopupClose,"//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]"
1,GNAVHEADER,hoverSearchIcon,,,,,,,,,//button[@class='sc-fzomuh gHzJiR elc-gnav-search-button js-gnav-search-button'],,"//div[contains(@class,'menu__item-search-label')][1]","//div[contains(@class,'formatter__sections')]//preceding::span[@class='menu__item-search-text']",//a[@class='header-search__icon mobile-hidden pc-search__icon'],"//body[contains(@class,'-pc')]//a[contains(@class,'pc-search__icon')]",//a[@class='header-search__icon mobile-hidden pc-search__icon'],,"//div[@class='mobile-hidden']//button[contains(@class,'gnav-util__icon--search')]"
1,MPP,searchAddToBag,//a[@data-test-id='add-to-cart'][1],//a[@data-test-id='add-to-cart'][1],,"//button[contains(@class,'add-to-bag')][1]","(//button[contains(@data-test-id,'add_to_bag_btn')])[1]","//a[contains(@class,'btn-add-to-bag')][1]","//a[contains(@class,'btn-add-to-bag')][1]","//a[contains(@class,'btn-add-to-bag')][1]",,,//a[@name='Add To Bag'][1],,,,,"(//a[contains(@class,'js-add-to-cart')])[1]",
1,GNAVHEADER,cart,(//span[@class='gnav-util__icon__cart-count'])[2],"//a[contains(@class,'gnav-cart__link')]",//a[@role='button'],//a[@title='bag icon'],//a[@data-behavior-cart='icon'],//button[@class='page-utilities__cart-button button-reset'],"//button[contains(@class,'cart-button button-reset')]",//button[@class='page-utilities__cart-button button-reset']|//button[@class='utility-nav__cart-button page-utilities__cart-button button-reset'],"//button[contains(@class,'cart-button button-reset')]","//a[contains(@class,'gnav-util__icon--cart')]",//span[@class='gnav-util__bag-label'],//a[@class='js-gnav-util-trigger--cart gnav-util__cart'],//span[@id='site-bag-count'],//span[@id='site-bag-count'],//a[@data-behavior-cart='icon'],"(//a[contains(@class,'utility-nav__cart-icon')])[2]","//a[contains(@class,'gnav-util__icon--cart')][1]"
1,SPP,javaAlertPopupSearch,,,,,,,,,,,O item a seguir foi,El siguiente producto,,,,,
1,SEARCHRESULTS,searchResultLink,,,,,,,,,,,,,,,,,
1,SEARCHRESULTS,noProductAvailable,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN PAGE,clickElcEmployeeButton,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN PAGE,bpAcEnterEmail,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN PAGE,bpAcEnterPassword,,,,,,,,,,,,,,,,,
1,ACCOUNTSIGNIN PAGE,bpAcSignInButton,,,,,,,,,,,,,,,,,
1,VIEWCART,removeProduct,,,,,,,,,,,,,,,,,
1,CONFIG,emulationDevice,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X
1,COMMON,closePopupElem,//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-reject-all-handler'],//button[@id='onetrust-reject-all-handler'],,,,,,,//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],//button[@id='onetrust-accept-btn-handler'],,//button[@id='onetrust-reject-all-handler']
1,COMMON,closeSecPopupElem,"//button[contains(@class,'interstitial_close_cbox_close')]","//button[contains(@id,'cboxClose')]","//button[contains(@class,'interstitial_close_cbox_close')]","//button[contains(@class,'interstitial_close_cbox_close')]","//button[contains(@class,'interstitial_close_cbox_close')]",,,,,,,"//button[contains(@class,'interstitial_close_cbox_close')]",,,,,
1,COMMON,closeThirdPopupElem,,//*[@id='onetrust-reject-all-handler'],"//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]",,,,,,,"//button[contains(@id,'cboxClose')]",,,,,
1,COMMON,randomPopupCloseElem,"//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]",,,,,,,"//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]","//button[contains(@id,'cboxClose')]",,"//button[contains(@id,'cboxClose')]"
1,GNAVHEADER,gnavHeaderHoverSearchElem,"//i[@class='icon icon--search']|//a[contains(@class,'site-header__menu-item js-site-header__menu-item')]",,,,,,,,,,,(//div[@class='menu__item-search-label js-nav-category-search-trigger'])[1],,,,,(//div[@class='js-gnav-util gnav-util gnav-util--search'])[2]
1,GNAVHEADER,gnavHeaderSearchElem,,//label[@id='header_nav_section_label_3'],"//div[contains(@class,'search gnav-block__courtesy-utilities-item')]",//button[@data-test-id='SEA-Icon'],//button[@data-test-id='SEA-Icon'],,,,,,,,//form[@id='perlgem-search-form'],//form[@id='perlgem-search-form'],//form[@id='perlgem-search-form'],,
1,GNAVHEADER,gnavHeaderOverlayInputElem,"//input[contains(@class,'search-form__field search-term js-end-search-term')]",//input[@id='search'],//input[@name='search-input'],//input[@name='search-input'],//input[@name='search-input'],,,,,,,//input[@id='search'],//input[@id='search'],//input[@id='search'],//input[@id='search'],,(//input[@name='search'])[2]
1,GNAVHEADER,mobGnavHeaderSearchElem,//a[@class='site-header__utility-item js-nav-content'],"(//div[contains(@class,'site-header-formatter__search-icon')])[1]",//button[@data-test-id='SEA-Icon'],//button[@data-test-id='SEA-Icon'],//button[@data-test-id='SEA-Icon'],,,,,,,//div[@class='site-header-formatter__utilities-item site-header-formatter__search-label'],//a[@data-test-id='gnav_search_icon'],//a[@data-test-id='gnav_search_icon'],//a[@data-test-id='gnav_search_icon'],,(//div[@class='js-gnav-util gnav-util gnav-util--search'])[1]
1,GNAVHEADER,mobGnavHeaderOverlayInputElem,"//input[contains(@class,'search-form__field search-term js-end-search-term')]",//input[@id='search'],//input[@name='search-input'],//input[@name='search-input'],//input[@name='search-input'],,,,,,,//input[@id='search'],//input[@id='search'],//input[@id='search'],//input[@id='search'],,(//input[@name='search'])[1]
1,SEARCHRESULTS,searchGridMessageOverlayElem,"(//div[contains(@class,'result search-suggestions__item')])[1]",(//li[@class='result search-suggestions__item first last'])[2],//p[@data-test-id='SEA-Display-Message-Overlay'],//p[@data-test-id='SEA-Display-Message-Overlay'],//p[@data-test-id='SEA-Display-Message-Overlay'],,,,,,,(//a[@class='search-suggestions__link'])[1],(//span[@class='search-count'])[2],(//span[@class='search-count'])[2],(//span[@class='search-count'])[2],,(//a[@class='search-suggestions__link'])[2]
1,SEARCHRESULTS,mobSearchGridMessageOverlayElem,"(//div[contains(@class,'result search-suggestions__item')])[1]",//li[@class='result search-suggestions__item first last'],//p[@data-test-id='SEA-Display-Message-Overlay'],//p[@data-test-id='SEA-Display-Message-Overlay'],//p[@data-test-id='SEA-Display-Message-Overlay'],,,,,,,//li[@class='result search-suggestions__item'],(//span[@class='search-count'])[1],(//span[@class='search-count'])[1],(//span[@class='search-count'])[1],,(//a[@class='search-suggestions__link'])[1]
1,SEARCHRESULTS,searchGridPredictiveItemElem,"//div[contains(@class,'product--typeahead first')]//a[contains(@class,'image-link js-spp-link')]",//li[@class='product product-result js-analytics-typeahead-product-result first'],(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],,,,,,,(//a[@class='product-image-link js-spp-link'])[1],,,,,"//li[contains(@class,'product--typeahead first')]"
1,SEARCHRESULTS,mobSearchGridPredictiveItemElem,"//div[contains(@class,'esearch-nav-products')]|(//img[@class='esearch-product--typeahead__img  lazyloaded'])[2]",//li[@class='product product-result js-analytics-typeahead-product-result first'],(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],,,,,,,(//div[@class='product-brief__image'])[2],,,,,(//li[@class='pc-hidden product result'])[1]
1,SEARCHRESULTS,searchGridResultLinkElem,,,,,,,,,,,,,,,,,
1,SEARCHRESULTS,searchGridItemUnavailableElem,,,,,,,,,,,,,,,,,
1,SEARCHRESULTS,mobSearchGridResultLinkElem,,,,,,,,,,,,,,,,,
1,SEARCHRESULTS,mobSearchGridItemUnavailableElem,,,,,,,,,,,,,,,,,
1,PLP,plpFirstProductElem,"//div[contains(@class,'endeca-product-result--0 first')]",,(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],(//a[@data-test-id='clickable_wrapper'])[1],,,,,,,,,,,,
1,PLP,plpQuickShopElem,,,(//button[@class='elc-product-quick-view-button js-product-quick-view-button'])[1],(//button[@class='elc-product-quick-view-button js-product-quick-view-button'])[1],(//button[@class='elc-product-quick-view-button js-product-quick-view-button'])[1],,,,,,,,,,,,
1,PLP,plpAddToBagElem,"(//a[contains(@class,'add-to-bag js-add-to-cart js-product-cta')])[1]",,,,,,,,,,,,,,,,
1,PLP,plpPdpProductElem,,(//a[@class='product-brief__image-link js-product-brief-image-link js-spp-link'])[1],,,,,,,,,,(//div[@class='product-brief__container js-product-brief__container'])[1],"(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]","(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]","(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]",,(//div[@class='product-brief__image-wrapper'])[1]
1,PLP,mobPlpFirstProductElem,"//div[contains(@class,'endeca-product-result--0 first')]",(//a[@class='product-brief__image-link js-product-brief-image-link js-spp-link'])[1],,,,,,,,,,,,,,,
1,PLP,mobPlpQuickShopElem,,,,,,,,,,,,,,,,,
1,PLP,mobPlpAddToBagElem,"(//a[contains(@class,'add-to-bag js-add-to-cart js-product-cta')])[1]",,,,,,,,,,,,,,,,
1,PLP,mobPlpPdpProductElem,"//a[contains(@class,'js-spp-link product-brief__extras-link')]",,,,,,,,,,,(//div[@class='product-brief__container js-product-brief__container'])[1],,,,,(//div[@class='product__image-link'])[1]
1,PDP,pdpJavaAlertPopupElem,,,,,,,,,,,,,,,,,
1,PDP,pdpAddToBagElem,"(//a[contains(@class,'add-to-bag js-add-to-cart js-product-cta')])[1]",//div[@class='product-full__bag-btn js-product-full-bag-btn'],//button[@data-test-id='add_to_bag_btn'],//button[@data-test-id='add_to_bag_btn'],//button[@data-test-id='add_to_bag_btn'],,,,,,,(//a[@class='button js-add-to-cart js-product-cta'])[1],(//a[@data-test-id='add-to-cart'])[1],(//a[@data-test-id='add-to-cart'])[1],(//a[@data-test-id='add-to-cart'])[1],,(//div[@data-test-id='add-to-cart'])[1]/a
1,GNAVHEADER,gnavHeaderBagProductElem,(//a[@class='button button--inverted button--full'])[1],//a[@class='gnav-cart__link site-utils__link js-site_utils'],//a[@aria-label='bag icon'],//a[@aria-label='bag icon'],//a[@aria-label='bag icon'],,,,,,,//div[@class='gnav-util gnav-util--cart gnav-util--cart--nonempty'],(//span[@id='site-bag-count'])[1],(//span[@id='site-bag-count'])[1],(//span[@id='site-bag-count'])[1],,(//a[@title='Cart'])[2]
1,GNAVHEADER,gnavHeaderCartElem,(//span[@class='gnav-util__icon__cart-count'])[1],//a[@data-test-id='cart_overlay_viewcart'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],,,,,,,//a[@data-test-id='cart_overlay_checkout'],(//span[@slot='button-drawer-cta-3'])[1],(//span[@slot='button-drawer-cta-3'])[1],(//span[@slot='button-drawer-cta-3'])[1],,(//a[@data-test-id='cart_overlay_cart_edit'])[2]
1,PDP,pdpNotifyMeElem,,,,,,,,,,,,,,,,,
1,PDP,mobPdpJavaAlertPopupElem,,,,,,,,,,,,,,,,,
1,PDP,mobPdpAddToBagElem,"(//a[contains(@class,'add-to-bag js-add-to-cart js-product-cta')])[1]",(//a[@class='product__button button button--secondary product__button--add-to-bag js-add-to-cart js-product-cta'])[last()],(//button[@data-test-id='add_to_bag_btn'])[1],(//button[@data-test-id='add_to_bag_btn'])[1],(//button[@data-test-id='add_to_bag_btn'])[1],,,,,,,(//a[@class='button js-add-to-cart js-product-cta'])[1],"(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]","(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]","(//img[contains(@class,'product__sku-image--default--medium fade-non-shoppable-product')])[1]",,(//a[@data-test-id='add-to-cart'])[1]
1,GNAVHEADER,mobGnavHeaderBagProductElem,(//a[@class='button button--inverted button--full'])[2],//a[@class='gnav-cart__link site-utils__link js-site_utils'],//a[@aria-label='bag icon'],//a[@aria-label='bag icon'],//a[@aria-label='bag icon'],,,,,,,//div[@class='site-header-formatter__utilities-item site-header-formatter__cart'],(//button[@data-cart-target='cartButton'])[1],(//button[@data-cart-target='cartButton'])[1],(//button[@data-cart-target='cartButton'])[1],,(//a[@title='Cart'])[1]
1,GNAVHEADER,mobGnavHeaderCartElem,(//span[@class='gnav-util__icon__cart-count'])[2],//a[@data-test-id='cart_overlay_viewcart'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],//a[@data-test-id='cart_overlay_checkout'],,,,,,,//a[@data-test-id='cart_overlay_checkout'],(//a[@class='product-add-to-bag js-product-add-to-bag'])[2],(//a[@class='product-add-to-bag js-product-add-to-bag'])[2],(//a[@class='product-add-to-bag js-product-add-to-bag'])[2],,(//a[@data-test-id='cart_overlay_checkout'])[1]
1,PDP,mobPdpNotifyMeElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,accountElcEmployeeElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,accountEmailElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,accountPasswordElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,accountSigninElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,mobAccountElcEmployeeElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,mobAccountEmailElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,mobAccountPasswordElem,,,,,,,,,,,,,,,,,
1,ACCOUNT,mobAccountSigninElem,,,,,,,,,,,,,,,,,
1,CART,cartRemoveProductElem,,,,,,,,,,,,,,,,,
1,CART,mobCartRemoveProductElem,,,,,,,,,,,,,,,,,
1,HOMEPAGE,mobHamburgerElem,,,,,,,,,,,,,,,,,
1,HOMEPAGE,iFrameElem,//iframe[@title='Modal Message'],,,,,,,,,,,,,,,,
1,HOMEPAGE,frameCloseElem,//*[@aria-label='Close Message'],,,,,,,,,,,,,,,,
1,HOMEPAGE,mobIFrameElem,,,,,,,,,,,,,,,,,
1,HOMEPAGE,mobFrameCloseElem,,,,,,,,,,,,,,,,,
1,HOMEPAGE,waitTime,,,,,,,,,,,,,,,,,
