tt,Page,BrandLocale,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,TF-JP
1,VIEWCART,popUpId,,._btn-close__2VNh_.karte-close,"//*[contains(@class,'btn-close')]","//*[contains(@class,'icon-close')]",.close-btn.close.img,,"//*[contains(@class,'karte-close')]",,
1,VIEWCART,continueCheckoutMob,,,,,,,,,
1,VIEWCART,checkoutBtn,,,,,,,,,
1,VIEWCART,checkoutButtonId,//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark']
1,VIEWCART,checkoutButtonId1,,,,,,,,,
1,VIEWCART,checkoutButtonId2,//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button']//*[@class='btn btn-primary continue-checkout button button--dark']
1,VIEWCART,checkoutButtonMob,//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark']
1,VIEWCART,checkoutButtonMob1,,,,,,,,,
1,VIEWCART,checkoutButtonMob2,//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@data-test-id='cart_primarycheckout'],//*[@class='checkout-button-mobile']//*[@class='btn btn-primary continue-checkout button button--dark']
1,SAMPLES,selectSamplePC,,,,,,,,,
1,SAMPLES,selectSampleMOB,,,,,,,,,
1,SAMPLES,sampleContinue,,,,,,,,,
1,SAMPLES,sampleContinue1,,,,,,,,,
1,SAMPLES,sampleContinue2,,,,,,,,,
1,SAMPLES,sampleContinueMob,,,,,,,,,
1,SAMPLES,sampleContinueMob1,,,,,,,,,
1,SAMPLES,sampleContinueMob2,,,,,,,,,
1,CHECKOUTSIGNIN,PopUp,,"//*[contains(@class,'_icon-close_')]",,,"//*[contains(@class,'_icon-close_')]",,"//*[contains(@class,'banner-close-button')]",,
1,VIEWCART,samplePageContinue,,,,,,,,,
1,VIEWCART,samplePageContinue2,,,,,,,,,
1,VIEWCART,samplePageContinueMob,,,,,,,,,
1,VIEWCART,samplePageContinueMob2,,,,,,,,,
1,CHECKOUTSIGNIN,GuestUserId,,,,,,,,,
1,CHECKOUTSIGNIN,TermsAndCondition1,,,,,,,,,
1,CHECKOUTSIGNIN,TermsAndCondition,,,,,,,,,
1,CHECKOUTSIGNIN,GuestUsercontinue,,,,,,,,,
1,CHECKOUTSIGNIN,GuestuserSubmitMOb,,,,,,,,,
1,CHECKOUTSIGNIN,returnUserMobIds,,,,,,,,,
1,CHECKOUTSIGNIN,gnavPopUpCloses,,,,,,,,,
1,CHECKOUTSIGNIN,returnUserIds,//*[@id='form--signin--field--EMAIL_ADDRESS' and @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS' and @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS' and @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS'],//*[@id='form--checkout_signin_jp--field--EMAIL_ADDRESS'] | //*[@data-test-id='form_accountIdentifier'],//*[@id='form--signin--field--EMAIL_ADDRESS' or @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS' or @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS' or @data-test-id='form_signin_email'],//*[@id='form--signin--field--EMAIL_ADDRESS' and @data-test-id='form_signin_email']
1,CHECKOUTSIGNIN,returnUserPwdIds,//*[@id='form--signin--field--PASSWORD' and @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD' and @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD' and @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD'],//*[@id='form--checkout_signin_jp--field--PASSWORD'] | //*[@data-test-id='form_password'],//*[@id='form--signin--field--PASSWORD' or @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD' or @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD' or @data-test-id='form_signin_password'],//*[@id='form--signin--field--PASSWORD' and @data-test-id='form_signin_password']
1,CHECKOUTSIGNIN,returnUserSigninButtons,//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],"//*[@data-test-id='form_signin_continue'] | //*[contains(@class,'js-ramp-sign-in-button')]",//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue']
1,CHECKOUTSIGNIN,returnUserContinueMobs,//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],"//*[@data-test-id='form_signin_continue'] | //*[contains(@class,'js-ramp-sign-in-button')]",//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue'],//*[@data-test-id='form_signin_continue']
1,CHECKOUTSIGNIN,signInBtnTxts,,,,,,,,,
1,CHECKOUTSIGNIN,goBackRUs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,CHECKOUTSIGNIN,registernow,"//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title') or contains(@class,'ramp-access-page-tab-sign-up')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]"
1,CHECKOUTSIGNIN,newregisternowMob,"//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title') or contains(@class,'ramp-access-page-tab-sign-up')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]","//*[contains(@class,'title--h5 first_title')]"
1,CHECKOUTSIGNIN,NewuserFirstName,,,,,,,,,
1,CHECKOUTSIGNIN,NewuserEmailID,//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS']| //*[@data-test-id='form_emailAddress'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS'],//*[@id='form--registration--field--PC_EMAIL_ADDRESS']
1,CHECKOUTSIGNIN,FirstNameInMemberInfo,//*[@id='form--registration--field--FIRST_NAME'],,,//*[@id='form--registration--field--FIRST_NAME'],//*[@id='form--registration--field--FIRST_NAME'],,,,//*[@id='form--registration--field--FIRST_NAME']
1,CHECKOUTSIGNIN,LastNameInMemberInfo,//*[@id='form--registration--field--LAST_NAME'],,,//*[@id='form--registration--field--LAST_NAME'],//*[@id='form--registration--field--LAST_NAME'],,,,//*[@id='form--registration--field--LAST_NAME']
1,CHECKOUTSIGNIN,NewuserPassword,//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'] | //*[@data-test-id='form_password'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD'],//*[@id='form--registration--field--PASSWORD']
1,CHECKOUTSIGNIN,ReEnterNewuserPassword,,,,,,,,,
1,CHECKOUTSIGNIN,AgreeAllTnC,//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],"//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'] | //*[contains(@class,'elc-checkbox-icon js-checkbox-icon')]",//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//*[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY']
1,CHECKOUTSIGNIN,NewuserTandC,,,,,,,,,
1,CHECKOUTSIGNIN,NewuserContinue,//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],"//*[@data-test-id='form_registration_continue'] | //*[contains(@class,'js-ramp-submit-button')]",//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue']
1,CHECKOUTSIGNIN,newuserContinueMob,//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],"//*[@data-test-id='form_registration_continue'] | //*[contains(@class,'js-ramp-submit-button')]",//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue'],//*[@data-test-id='form_registration_continue']
1,CHECKOUTSIGNIN,GoBack,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
1,CHECKOUTSIGNIN,signinIDs,,,,,,,,,
1,SHIPPING,mobileSignUpPopUp,,,,,,,,,
1,SHIPPING,DeliveryMethodId,,,,,,,,,
1,SHIPPING,TitleIdmob,,,,,,,,,
1,SHIPPING,TitleId,,,,,,,,,
1,SHIPPING,TitleDropDownMob,,,,,,,,,
1,SHIPPING,TitleDropDownMobSTAGE,,,,,,,,,
1,SHIPPING,TitleDropdownPC,,,,,,,,,
1,SHIPPING,FirstnameId,//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input'],//*[@id='shipping-first-name-input']
1,SHIPPING,LastnameId,//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input'],//*[@id='shipping-last-name-input']
1,SHIPPING,FirstnamekatakanaiD,//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input'],//*[@id='shipping-first-name_alternate-input']
1,SHIPPING,LastnamekatakanaiD,//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input'],//*[@id='shipping-last-name_alternate-input']
1,SHIPPING,AddressId,,,,,,,,,
1,SHIPPING,AddressSuggestionPress,,,,,,,,,
1,SHIPPING,AddressSuggestionClick,,,,,,,,,
1,SHIPPING,AddressID2,,,,,,,,,
1,SHIPPING,PhoneId,//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input'],//*[@id='shipping-number-input']
1,SHIPPING,PostalcodeId,//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input'],//*[@id='shipping-zip-code-input']
1,SHIPPING,CityId,,,,,,,,,
1,SHIPPING,StreetID,,,,,,,,,
1,SHIPPING,StateDropdownclick,,,,,,,,,
1,SHIPPING,StatedropdownOption,,,,,,,,,
1,SHIPPING,StateDropdown,,,,,,,,,
1,SHIPPING,StateDropdownSTAGE,,,,,,,,,
1,SHIPPING,StateDropdownclickSTAGE,,,,,,,,,
1,SHIPPING,StatedropdownOptionSTAGE,,,,,,,,,
1,SHIPPING,CityDropdownclick,,,,,,,,,
1,SHIPPING,CityDropdownOption,,,,,,,,,
1,SHIPPING,cityDropdown,,,,,,,,,
1,SHIPPING,SubDistrictId,,,,,,,,,
1,SHIPPING,ProvinceID,,,,,,,,,
1,SHIPPING,PaymentOptionID,,,,,,,,,
1,SHIPPING,EnterNewUserPWDShipping,,,,,,,,,
1,SHIPPING,ReEnterNewUserPWDShipping,,,,,,,,,
1,SHIPPING,PaymentOptionTnC,,,,,,,,,
1,SHIPPING,DeliveryMethodDropdown,,,,,,,,,
1,SHIPPING,PressTab,,TRUE,TRUE,,,TRUE,TRUE,TRUE,
1,SHIPPING,shippingAddressContinues,//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout']
1,SHIPPING,shippingContinueMobs,//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout'],//*[@data-test-id='dp_continue_checkout']
1,ORDERREVIEW,EnterNewUserPwdAccount,,,,,,,,,
1,ORDERREVIEW,reEnterNewUserPwdAccount,,,,,,,,,
1,ORDERREVIEW,EnterNewUserPwdAccountSTAGE,,,,,,,,,
1,ORDERREVIEW,reEnterNewUserPwdAccountSTAGE,,,,,,,,,
1,ORDERREVIEW,PhoneNumberToCreateAC,,,,,,,,,
1,ORDERREVIEW,SecurityQue,,,,,,,,,
1,ORDERREVIEW,SecurityAns,,,,,,,,,
1,ORDERREVIEW,SecurityAnsSTAGE,,,,,,,,,
1,ORDERREVIEW,TnCtocreateAccount,,,,,,,,,
1,ORDERREVIEW,TnCtocreateAccountSTAGE,,,,,,,,,
1,ORDERREVIEW,CreateAccountContinue,,,,,,,,,
1,ORDERREVIEW,PaymentMethodRadioButton,//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC']
1,ORDERREVIEW,PaymentMethodRadioButtonMob,//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC'],//*[@data-test-id='pp_radio_button_AdyenWeb_AWCCC']
1,ORDERREVIEW,SelectPaymentMethod,,,,,,,,,
1,ORDERREVIEW,PaymentSelectBtn,,,,,,,,,
1,ORDERREVIEW,TermsAndConditionForAge,,,,,,,,,
1,ORDERREVIEW,CompleteTheOrder,,,,,,,,,
1,ORDERREVIEW,CompleteTheOrderMob,,,,,,,,,
1,ORDERREVIEW,MobileNumberSMS,,,,,,,,,
1,ORDERREVIEW,TandCForSales,,,,,,,,,
1,ORDERREVIEW,OrderReviewCheckout,,,,,,,,,
1,ORDERREVIEW,orderReviewCheckoutMob,,,,,,,,,
1,PAYMENT,CardTypeId,,,,,,,,,
1,PAYMENT,cardholdernametxt,,,,,,,,,
1,PAYMENT,creditcardHolderName,"//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]"
1,PAYMENT,CreditcardId,//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber']
1,PAYMENT,CreditcardMOb,//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber'],//input[@data-fieldtype='encryptedCardNumber']
1,PAYMENT,CreditCardPan1,,,,,,,,,
