tt,BrandLocale,AV-UK,AV-US,AV-AU,AV-IT,AV-MX,CL-UK,CL-US,CL-AU,CL-IT,CL-MX,MC-UK,MC-US,MC-AU,MC-IT,MC-MX,EL-UK,EL-US,EL-AU,EL-IT,EL-MX,JM-UK,JM-US,JM-AU,JM-FR,JM-MX,OR-UK,OR-US,OR-TH,OR-MX,BB-UK,BB-US,BB-AU,BB-IT,BB-MX,GG-UK,GG-US,GG-HK,BK-UK,BK-US,BK-FR,LM-UK,LM-US,LM-AU,LM-FR,LM-MX,LS-UK,LS-US,LS-JP,DA-UK,DA-US,DA-FR,SB-US,SB-GR,TF-UK,TF-US,TF-JP,TF-BR,BU-UK,BU-US,FM-UK,FM-US,DJ-UK,DJ-US
1,cmsClickYesPublishthiscontent,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content,Yes - publish this content
1,cmsClickHomeIcon,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home,#toolbar-home
1,cmsFindContent,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content,Find Content
1,cmsKeywordSearch,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
1,cmsClickFilter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter
1,cmsClickNewDraft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft,new draft
1,cmsEnterRevisionTag,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content,Test Content
1,countryLanguageLocalizeFrom,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Australia E-commerce Site - English,Italy E-commerce Site - Italian,Mexico E-commerce Site - Spanish,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Australia E-commerce Site - English,Italy E-commerce Site - Italian,Mexico E-commerce Site - Spanish,United Kingdom E-commerce Site - English,North America E-commerce Site - English,Australia E-commerce Site - English,Italy E-commerce Site - Italian,Mexico E-commerce Site - Spanish,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Australia E-commerce Site - English,Italy E-commerce Site - Italian,Mexico E-commerce Site - Spanish,United Kingdom - English,United States E-commerce Site - English,Australia E-commerce Site - English,France E-commerce Site - French,Mexico E-commerce Site - Spanish,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Thailand E-commerce Site - Thai,Thailand E-commerce Site - Thai,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Australia E-commerce Site - English,Italy E-commerce Site - Italian,Mexico E-commerce Site - Spanish,United States E-commerce Site - English,United States E-commerce Site - English,Hong Kong E-commerce Site - Traditional Chinese,United Kingdom E-commerce Site - English,United States E-commerce Site - English,France E-commerce Site - French,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Australia E-commerce Site - English,France E-commerce Site - French,Mexico E-commerce Site - Spanish,United Kingdom E-commerce Site - English,United States E-commerce Site - English,Japan E-commerce Site - Japanese,United Kingdom E-commerce Site - English,United States E-commerce Site - English,France E-commerce site - French,United States E-commerce Site - English,Greece E-commerce Site - Greek,UK E-commerce Site - English,UH E-commerce Site - English,Japan E-commerce Site - Japanese,Brazil E-commerce Site - Portuguese,United Kingdom E-commerce Site - English,United States E-commerce Site - English,United Kingdom E-commerce Site - English,United States E-commerce Site - English,United Kingdom E-commerce Site - English,United States E-commerce Site - English
1,chooseType,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page,Page
1,chooseWorkflowState,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft,draft
