tt,Page,BrandLocale,AV-DE,AV-EU,AV-FR,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-TR,BK-FR,CL-DE,CL-ES,CL-FI,CL-FR,CL-GR,CL-IL,CL-TR,CL-IT,DA-IT,EL-BE,EL-DE,EL-ES,EL-FR,EL-GR,EL-IL,EL-TR,JM-EU,JM-FR,JM-ME,LM-DE,LM-EU,MC-AT,MC-BE,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-KSA,MC-PL,MC-RO,MC-TR,OR-EU,SB-EU,TF-DE
1,MYACCOUNT (Acc settings),acProfileEnterTitleREG,,//input[@id='form--profile_preferences--field--TITLE--index--mr'],//label[@for='form--profile_preferences--field--TITLE--index--ms'],//label[@id='form--profile_preferences--field--TITLE--index--frau_label'],//label[@id='form--profile_preferences--field--TITLE--index--mrs_label'],//*[@for='form--profile_preferences--field--TITLE--index--mlle'],,,,//*[@id='form--profile_preferences--field--TITLE--index--m_label'],//input[@id='form--profile_preferences--field--TITLE--index--herr'],//input[@id='form--profile_preferences--field--TITLE--index--seor'],,//input[@id='form--profile_preferences--field--TITLE--index--melle'],,//input[@id='form--profile_preferences--field--TITLE--index--'],,//input[@id='form--profile_preferences--field--TITLE--index--siga'],//input[@id='form--profile_preferences--field--TITLE--index--mr'],//label[@id='form--profile_preferences--field--TITLE--index--dr_label'],,//input[@id='form--registration--field--TITLE--index--seora'],,,//label[@id='form--registration--field--TITLE--index--1_label'],,,//select[@id='form--registration--field--TITLE'],,//label[@id='form--profile_preferences--field--SEX--index--f_label'],//label[@id='form--registration--field--TITLE--index--mrs_label'],//input[@id='form--profile_preferences--field--TITLE--index--frau'],,//label[@id='form--profile_preferences--field--TITLE--index--frau_label'],//div[@class='picker-flag'],//label[@id='form--profile_preferences--field--TITLE--index--mme_label'],,,//input[@data-test-id='form_title'],#form--profile_preferences--field--TITLE--index--ms,,,,,,,
1,MYACCOUNT (Acc settings),acProfileSelectTitleDropDownREG,,,,,,,,,,,,,,,,,,,,,,,,,,,form--registration--field--TITLE,,,,,,,,,,,,,,,,,,,,
1,MYACCOUNT (Acc settings),acProfileEnterFirstNameREG,//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@name='FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@data-test-id='form_firstname'],//input[@data-test-id='form_firstname'],//input[@data-test-id='form_firstname'],//input[@data-test-id='form_firstname'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@data-test-id='form_firstname'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],input#form--profile_preferences--field--FIRST_NAME,//input[@id='form--profile_preferences--field--FIRST_NAME'],input#form--profile_preferences--field--FIRST_NAME,//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--profile_preferences--field--FIRST_NAME'],//input[@id='form--registration--field--FIRST_NAME'],
1,MYACCOUNT (Acc settings),acProfileEnterLastNameREG,//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@name='LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@data-test-id='form_lastname'],//input[@data-test-id='form_lastname'],//input[@data-test-id='form_lastname'],//input[@data-test-id='form_lastname'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@data-test-id='form_lastname'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],input#form--profile_preferences--field--LAST_NAME,//input[@id='form--profile_preferences--field--LAST_NAME'],input#form--profile_preferences--field--LAST_NAME,//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--profile_preferences--field--LAST_NAME'],//input[@id='form--registration--field--LAST_NAME'],
1,MYACCOUNT (Acc settings),acProfileEnterResetPwdREG,,,,,,,,,,,,,,,,,,,,,,,,,,,//input[@data-test-id='form_password'],//input[@data-test-id='form_password'],//input[@data-test-id='form_password'],,,,,,,,,,,,,,,,,,
1,MYACCOUNT (Acc settings),acProfileEnterConfirmPwdREG,,,,,,,,,,,,,,,,,,,,,,,,,,,//input[@data-test-id='form_verifypassword'],//input[@data-test-id='form_verifypassword'],//input[@data-test-id='form_verifypassword'],,,,,,,,,,,,,,,,,,
1,MYACCOUNT (Acc settings),acProfileEnterPWDHintREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,//input[@id='form--registration--field--PASSWORD_HINT'],//input[@id='form--registration--field--PASSWORD_HINT'],,,,,,,,,,,,,,,,,,
1,MYACCOUNT (Acc settings),acProfileClickTandCREG,,,,,,,,,,//*[@for='form--email_promotions--field--ACCEPTED_PRIVACY_POLICY'],,,,,,,,,//label[@for='form--profile_preferences--field--ACCEPTED_PRIVACY_POLICY'],,,//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],,,,,//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//label[@for='form--registration--field--ACCEPTED_PRIVACY_POLICY'],//input[@id='form--registration--field--ACCEPTED_PRIVACY_POLICY'],,,,,,,,,,,,,,,,,,
1,MYACCOUNT (Acc settings),acProfileSubmitButtonREG,//input[@class='form-submit button'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@class='form-submit'][@value='ACTUALIZAR MI CUENTA'],"//input[@class='form-submit'][contains(@value,'Mise')]",//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//div[@class='submit_btn full-width-wrap']//input[@class='form-submit'],//div[@data-test-id='form_submit']//input[@type='submit'],//div[@class='submit_btn full-width-wrap']/input,//div[@class='submit_btn full-width-wrap']/input,//div[@class='submit_btn full-width-wrap']//input[@class='form-submit'],//input[@class='form-submit'],//div[@class='submit_btn full-width-wrap']//input[@class='form-submit'],//div[@class='submit_btn full-width-wrap']//input[@class='form-submit'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='profile_update'],//input[@data-test-id='profile_update'],//input[@data-test-id='profile_update'],//input[@data-test-id='profile_update'],//input[@data-test-id='profile_update'],//input[@class='button button--dark registration-page__submit'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@class='btn btn--full form-submit'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],//input[@data-test-id='form_profile_update'],
1,MYACCOUNT (Acc settings),acProfileUpdateAssertREG,//ul[@id='form--errors--profile_preferences']//*[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],"//*[contains(@id,'account_updated..')]","//*[contains(@id,'account_updated..')]","//li[contains(@id,'account_updated..')]",//li[@id='account_updated..'][1],//section//li[@id='account_updated..'],//ul[@id='form--errors--profile_preferences']//*[@id='account_updated..'],"//li[contains(@id,'account_updated..')]",//ul[@id='form--errors--profile_preferences']//*[@id='account_updated..'],//ul[@id='form--errors--profile_preferences'],//ul[@id='form--errors--profile_preferences'],//ul[@id='form--errors--profile_preferences']//li[@id='account_updated..'],,//li[@id='account_updated..'],//ul[@id='form--errors--profile_preferences']//*[@id='account_updated..'],//ul[@id='form--errors--profile']//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],,//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//ul[@id='form--errors--profile']//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//ul[@id='form--errors--profile_preferences']//*[@id='account_updated..'],//li[@id='account_updated..'],"//li[contains(@id,'account_updated..')]",//li[@id='account_updated..'],//li[@id='account_updated..'],"//li[contains(@id,'account_updated..')]","//li[contains(@id,'account_updated..')]",//li[@id='account_updated..'],"//li[contains(@id,'account_updated..')]",//li[@id='account_updated..'],//li[@id='account_updated..'],//li[@id='account_updated..'],//ul[@id='form--errors']//*[@id='account_updated..'],
1,MYACCOUNT (order history),acOrderHistorylinkREG,,//a[@data-test-id='myaccount_menu_past_purchase'],,//a[@data-test-id='myaccount_menu_orders'],//*[@data-test-id='myaccount_menu_orders'],//*[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,,,(//a[@data-test-id='myaccount_menu_past_purchase'])[2],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,//a[@data-test-id='myaccount_menu_orders'],,//a[@data-test-id='myaccount_menu_orders'],,//a[@data-test-id='myaccount_menu_orders'],,
1,MYACCOUNT (order history),acPastPurchasedlinkREG,//li//a[@data-test-id='myaccount_menu_past_purchase'],,//a[@data-test-id='myaccount_menu_past_purchase'],,,,,,,//li//a[@data-test-id='myaccount_menu_past_purchase'],,,,,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_orders'],,,//a[@data-test-id='past_purchase_data'],//tr[@class='order-status-table__row'],,,,,,,//a[@data-test-id='myaccount_menu_reorder'],//a[@data-test-id='myaccount_menu_reorder'],//a[@data-test-id='myaccount_menu_reorder'],//a[@data-test-id='myaccount_menu_past_purchase'],,,,,,//a[@data-test-id='myaccount_menu_orders'],//a[@data-test-id='myaccount_menu_reorder'],,,//a[@data-test-id='myaccount_menu_reorder'],,//a[@data-test-id='myaccount_menu_reorder'],,//a[@data-test-id='myaccount_menu_reorder'],,//a[@data-test-id='myaccount_menu_past_purchase'],
