tt,Page,BrandLocale,JM-AU,CL-JP,AV-JP,BB-JP,LS-JP,MC-JP,EL-JP,LM-JP,EL-AU,EL-KR,MC-AU,CL-AU,CL-KR,JM-KR,EL-TW
1,IAM,accSigninTabElem,"//button[contains(@class,'iam-access-page-tab-sign-in')]","//*[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,' iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,' iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]","//button[contains(@class,'iam-access-page-tab-sign-in')]"
1,IAM,accUsernameElem,//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier'],//input[@id='accountIdentifier']
1,IAM,accPasswordElem,//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password']
1,IAM,accSigninContinueElem,"//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]","//button[contains(@class,'elc-iam-sign-in-button')]"
1,IAM,accSignupTabElem,"//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]","//button[contains(@class,'iam-access-page-tab-sign-up')]"
1,IAM,accSignupNameElem,//input[@id='firstName'],,,,,,//input[@data-test-id='form_firstName'],,//input[@data-test-id='form_firstName'],//input[@id='firstName'],//input[@id='firstName'],//input[@id='firstName'],,,//input[@id='fullName']
1,IAM,accSignupEmailElem,//input[@id='pcEmailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='emailAddress'],//input[@id='pcEmailAddress'],//input[@id='emailAddress'],//input[@id='pcEmailAddress'],//input[@id='pcEmailAddress'],,,//input[@id='pcEmailAddress']
1,IAM,accSignupPasswordElem,//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],//input[@id='password'],,,//input[@id='password']
1,IAM,accSignupMobileElem,"//input[contains(@class,'elc-iam-phone-input')]",,,,,,,,"//input[contains(@class,'elc-iam-phone-input')]","//input[contains(@class,'elc-iam-phone-input')]","//input[contains(@class,'elc-iam-phone-input')]","//input[contains(@class,'elc-iam-phone-input')]",,,//input[@id='_mobileNumberDisplayPhantom']
1,IAM,accAcceptTCElem,,"(//div[contains(@class,'elc-checkbox-icon')])[3]","(//div[contains(@class,'elc-checkbox-icon')])[2]","(//div[contains(@class,'elc-checkbox-icon')])[2]","(//div[contains(@class,'elc-checkbox-icon')])[2]","(//div[contains(@class,'elc-checkbox-icon')])[3]","(//div[contains(@class,'elc-checkbox-icon')])[3]","(//div[contains(@class,'elc-checkbox-icon')])[3]",,,,,,,"(//div[contains(@class,'elc-checkbox-icon')])[3]"
1,IAM,accSignupContinueElem,"//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button js-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]","//button[contains(@class,'elc-iam-submit-button')]"
1,IAM,accountSignOutElem,//a[@data-test-id='myaccount_menu_signout'],"//*[contains(@*,'signout')]",//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//input[@data-test-id='myaccount_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//a[@data-test-id='myaccount_menu_signout'],//*[@data-test-id='myaccount_menu_signout']
1,MYACCOUNT,userProfileElem,//a[@data-test-id='myaccount_menu_profile'],"//*[contains(@*,'signout')]",//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//input[@data-test-id='myaccount_signout'],//a[@data-test-id='myaccount_menu_signout'],//*[@class='account-page__header'],//*[@class='account-page__header'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//a[@data-test-id='myaccount_menu_profile'],//*[@data-test-id='myaccount_menu_signout']
1,IAM,accLineSigninTabElem,"//button[contains(@class,'elc-iam-social-button-facebook')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]","//button[contains(@class,'elc-iam-social-button-line')]",,,,,,,"//button[contains(@class,'elc-iam-social-button-line')]"
1,IAM,accLineUsernameElem,//input[@name='email'],//input[@name='tid'],//input[@name='tid'],//input[@name='tid'],//input[@name='tid'],//input[@name='tid'],//input[@name='tid'],//input[@name='tid'],,,,,,,//input[@name='tid']
1,IAM,accLinePasswordElem,//input[@name='pass'],//input[@name='tpasswd'],//input[@name='tpasswd'],//input[@name='tpasswd'],//input[@name='tpasswd'],//input[@name='tpasswd'],//input[@name='tpasswd'],//input[@name='tpasswd'],,,,,,,//input[@name='tpasswd']
1,IAM,accLineSigninContinueElem,//button[@id='loginbutton'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],//button[@class='MdBtn01'],,,,,,,//button[@class='MdBtn01']
1,IAM,accFBSigninTabElem,,,,,,,,,"//button[contains(@class,'elc-iam-social-button-facebook')]","//button[contains(@class,'elc-iam-social-button-facebook')]","//button[contains(@class,'elc-iam-social-button-facebook')]","//button[contains(@class,'elc-iam-social-button-facebook')]",,,"//button[contains(@class,'elc-iam-social-button-facebook')]"
1,IAM,accFBUsernameElem,,,,,,,,,//input[@name='email'],//input[@name='email'],//input[@name='email'],//input[@name='email'],,,//input[@name='email']
1,IAM,accFBPasswordElem,,,,,,,,,//input[@name='pass'],//input[@name='pass'],//input[@name='pass'],//input[@name='pass'],,,//input[@name='pass']
1,IAM,accFBSigninContinueElem,,,,,,,,,//button[@id='loginbutton'],//button[@id='loginbutton'],//button[@id='loginbutton'],//button[@id='loginbutton'],,,//button[@id='loginbutton']
