tt,Page,BrandLocale,AV-HK,AV-TH,AV-DK,AV-ME,AV-NO,AV-SE,AV-BR,BB-MY,BB-PH,BB-SG,BB-ME,BB-AR,BB-CE,CL-PH,CL-SG,CL-VN,CL-ME,CL-PT,CL-AR,CL-CO,CL-PA,CL-PE,CL-VE,DA-GR,DA-TW,DA-KR,EL-TB,EL-PH,EL-VN,EL-ID,EL-ME,EL-PT,EL-AR,EL-CO,EL-SV,EL-GT,EL-PA,EL-PE,EL-VE,JM-NZ,JM-DK,JM-GR,JM-IN,JM-ZA,JM-CH,JM-CE,LM-MY,LM-NZ,LM-PH,LM-SG,LM-ME,LM-TR,LS-HK,LS-MY,LS-SG,LS-TW,LS-TH,LS-IT,MC-PH,MC-SG,MC-VN,MC-AR,MC-PE,MC-VE,MC-PA,MC-GT,MC-SV,MC-CR,MC-EC,MC-BO,MC-NI,MC-UY,OR-KR,OR-MY,OR-PH,OR-SG
1,GNAVHEADER,gnavProductTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductSubTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavProductSecSubTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavStores,"(//*[contains(@class,'js-nav-link-trigger js-track-main-category-link')])[4]",,,,,,,"//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/store_locator')]","//a[contains(@href,'/location')]","//a[contains(@href,'/location')]","//a[contains(@href,'/location')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],(//a[@href='/stores'])[2],"//a[contains(@href,'/store-locator')]","//a[contains(@href,'/store-locator')]","//a[contains(@href,'/store-locator')]","//a[contains(@href,'/store-locator')]"
1,GNAVHEADER,gnavSignin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavSearchPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavSearchHoverPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavSearchMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavSearchInput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,gnavSearchInputText,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavPreProductTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductTypeHoverPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductSubTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductSecSubTypePc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductSubTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GNAVHEADER,secGnavProductSecSubTypeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,footersection,"//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'site-footer clearfix')]","//div[contains(@class,'wrap site-footer__wrap')]","//div[contains(@class,'wrap site-footer__wrap')]","//div[contains(@class,'wrap site-footer__wrap')]","//div[contains(@class,'wrap site-footer__wrap')]","//div[contains(@class,'wrap site-footer__wrap')]","//div[contains(@class,'wrap site-footer__wrap')]",//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],//footer[@id='page-footer-region'],"//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]","//footer[contains(@class,'page-footer is-alternate')]",//*[@class='more open'],"//div[contains(@class, 'site-footer')]","//div[contains(@class, 'site-footer')]","//div[contains(@class, 'site-footer')]","//div[contains(@class, 'site-footer')]","//div[contains(@class, 'site-footer')]","//div[contains(@class, 'site-footer')]","//div[contains(@trackname,'Footer')]",//*[@id='footer'],"//div[contains(@trackname,'Footer')]","//div[contains(@trackname,'Footer')]",//*[@id='footer'],"//div[contains(@trackname,'Footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]","//div[contains(@class,'site-footer')]",//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],//*[@class='footer-menu--pc responsive-container grid-container--6'],"//footer[contains(@class,'page-footer')]","//footer[contains(@class,'page-footer')]","//footer[contains(@class,'page-footer')]","//footer[contains(@class,'page-footer')]"
1,FOOTER,copyrightsec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,subsection,"//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]",,"//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a",,"//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a",//a[@class='country-chooser__selector'],//a[@class='country-chooser__selector'],//a[@class='country-chooser__selector'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],//select[@class='basic-select selectBox  selectBox-attached'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],"//div[contains(@trackname,'Country Chooser')]//select[@class='basic-select selectBox  selectBox-attached']",//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],,//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],,,//*[@href='http://www.maccosmetics.com/country-chooser'],,//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],,//*[@href='http://www.maccosmetics.com/country-chooser'],,//*[@href='http://www.maccosmetics.com/country-chooser'],,,,//*[@href='http://www.maccosmetics.com/country-chooser'],,//a[@class='selectBox country-select__selectbox selectbox selectbox--new selectBox-attached selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectbox--new selectBox-attached selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectbox--new selectBox-attached selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectbox--new selectBox-attached selectBox-dropdown selectBox-valid']
1,FOOTER,liveChatIcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,liveChatMsg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,secondliveChatBtn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,subsectionLinkOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,subsectionLinkTwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,subsectionLinkThree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,respectivePageElementOne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,respectivePageElementTwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,respectivePageElementThree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,locationDropdown,"//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//div[contains(@class,'js-footer-country-select selectBox')]","//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]",,"//a[contains(@class,'selectBox country')]","//a[contains(@class,'selectBox country')]","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a",,"//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a","//div[contains(@class,'sitewide-footer-formatter__content container')]//a",//a[@class='country-chooser__selector'],//a[@class='country-chooser__selector'],/a[@class='country-chooser__selector'],//a[@class='country-chooser__selector'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//div[@class='country-chooser__section'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//*[@id='country-selector'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],//select[@class='basic-select selectBox  selectBox-attached'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],,//div[@class='content']//a[@class='selectBox basic-select selectBox-attached selectBox-dropdown selectBox-valid'],,//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],//a[@class='selectBox country-select__selectbox selectbox selectBox-dropdown selectBox-valid'],,,,,,,,,,,,,,,"//a[contains(@class,'selectBox country-select__selectbox selectbox')]","//a[contains(@class,'selectBox country-select__selectbox selectbox')]","//a[contains(@class,'selectBox country-select__selectbox selectbox')]","//a[contains(@class,'selectBox country-select__selectbox selectbox')]"
1,FOOTER,locationValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,locDropdownAttribute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,locDropdownAttributeMob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,hubsiteExtensionUrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ch/de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HOMEPAGE,hubsiteSubmitBtn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,//input[@id='chooseLocaleButton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,liveChatCloseIcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,locationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,locationValueLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FOOTER,selectDropdownClassPc,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,js-footer-country-select selectBox site-footer__country-select,country-select__selectbox selectbox js-country-select,country-select__selectbox selectbox js-country-select,country-select__selectbox selectbox js-country-select,,country-select__selectbox selectbox js-country-select,country-select__selectbox selectbox js-country-select,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,footer-country-chooser__selectbox js-footer-country-chooser__selectbox,"//div[contains(@class,'menu menu--lvl-1')]","//div[contains(@class,'menu menu--lvl-1')]","/div[contains(@class,'menu menu--lvl-1')]",,,,,,,,,,,,,,"//div[@class='field-menu']/ul[@class='menu']/li[contains(@class,'menu-mlid-')]/a[contains(@href,'www.jom')]",,,,,,,basic-select,,basic-select,basic-select,,basic-select,country-select__selectbox selectbox,country-select__selectbox selectbox,country-select__selectbox selectbox,country-select__selectbox selectbox,country-select__selectbox selectbox,country-select__selectbox selectbox,,,,,,,,,,,,,,,country-select__selectbox selectbox selectbox--new selectBox selectBox-attached,country-select__selectbox selectbox selectbox--new selectBox selectBox-attached,country-select__selectbox selectbox selectbox--new selectBox selectBox-attached,country-select__selectbox selectbox selectbox--new selectBox selectBox-attached
1,FOOTER,locationLinkLocatorPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//div[contains(@class, 'footer-country-link')]","//div[contains(@class, 'footer-country-link')]","//div[contains(@class, 'footer-country-link')]","//div[contains(@class, 'footer-country-link')]","//div[contains(@class, 'footer-country-link')]","//div[contains(@class, 'footer-country-link')]",,//*[@data-test-id='footer_change_location'],,,//*[@data-test-id='footer_change_location'],,,,,,,,//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],//*[@href='http://www.maccosmetics.com/country-chooser'],,,,
1,STORELOCATOR,internationalStoreSearchPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],,(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],(//*[@href='https://www.maccosmetics.com/stores'])[2],,,,
1,STORELOCATOR,storeLocatorCountryDDPc,"//select[contains(@data-test-id,'storelocator_City')]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,STORELOCATOR,storeSelectDropdownClassPc,no-selectjs js-city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
