tt,BrandLocale,AV-US,BB-US,BU-US,CL-CA,CL-US,EL-CA,EL-US,LM-US,MC-CA,MC-US,OR-US,SB-US,AV-CA
1,enterLastName,//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name'],//*[@id='shipping-last-name-input' or @name='last_name']
1,enterAddress1,//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress'],//*[@id='shipping-first-line-input' or @name='firstLineAddress']
1,EnterADDRESS11,,,,,,,,,,,,,
1,enterAddress2,//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress'],//*[@id='shipping-second-line-input' or @name='secondLineAddress']
1,enterZipcode,//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode'],//*[@id='shipping-zip-code-input' or @name='zipcode']
1,enterPhone,//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber']
1,validatephonenumber,//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='shipping-number-input' or @name='mobileNumber'],//*[@id='form--address_shipping--field--PHONE1' or @data-test-id='form_address_phone'],//*[@id='shipping-number-input' or @name='mobileNumber']
1,enterCity,,,,//*[@id='shipping-city-input' or @name='city' or @data-test-id='form_address_city_field'],,//*[@id='shipping-city-input' or @name='city' or @data-test-id='form_address_city_field'],,,//*[@id='shipping-city-input' or @name='city' or @data-test-id='form_address_city_field'],,,//*[@id='shipping-city-input' or @name='city' or @data-test-id='form_address_city_field'],//*[@id='shipping-city-input' or @name='city' or @data-test-id='form_address_city_field']
1,SelectSTATE,,,,,,,,,,,,,
1,selectState1,,,,//div[@data-test-id='dp_form_state_dropdown'],,//div[@data-test-id='dp_form_state_dropdown'],,,//div[@data-test-id='dp_form_state_dropdown'],,,,//div[@data-test-id='dp_form_state_dropdown']
1,state,,,,//*[@title='Ontario'],,//*[@title='Ontario'],,,//*[@title='Ontario'],,,,//*[@title='Ontario']
1,continueToPayment,//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button elc-button-spinner'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],[data-test-id='dp_continue_checkout'],//button[@data-test-id='dp_continue_checkout'],//button[@data-test-id='dp_continue_checkout'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button elc-button-spinner'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button elc-button-spinner'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button'],//button[@data-test-id='dp_continue_checkout' or @class='js-delivery-screen-continue-button elc-button-spinner']
1,continueToPayment1,,,,,,,,,,,,,
1,selectUseThisAddress,"//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')] | //button[contains(@class,'elc-alert-keep-button js-alert-keep-button elc-button--outlined')]","//button[contains(@class,'elc-alert-use-button js-alert-user-button elc-button-spinner')]"
1,CCFieldId,form--checkout_billing--field--CARD_NUMBER,#cardNumber,encryptedCardNumber,#cardNumber,#cardNumber,form--checkout_billing--field--CARD_NUMBER,form--checkout_billing--field--CARD_NUMBER,form--checkout_billing--field--CARD_NUMBER,encryptedCardNumber,encryptedCardNumber,,form--checkout_billing--field--CARD_NUMBER,form--checkout_billing--field--CARD_NUMBER
1,creditCardnumber,#encryptedCardNumber,#cardNumber,"//*[contains(@id,'adyen-checkout-encryptedCardNumber')]",#cardNumber,"//*[contains(@id,'adyen-checkout-encryptedCardNumber')]",//input[@id='cardNumber' or @name='cardNumber'],"//*[contains(@id,'adyen-checkout-encryptedCardNumber')]","//*[contains(@id,'adyen-checkout-encryptedCardNumber')]","//*[contains(@id,'encryptedCardNumber')]","//*[contains(@id,'encryptedCardNumber')]","//*[contains(@id,'encryptedCardNumber')]",[data-test-id='encryptedCardNumber'],#encryptedCardNumber
1,getCreditcardValue,encryptedCardNumber,cardNumber,encryptedCardNumber,cardNumber,cardNumber,//input[@id='cardNumber' or @name='cardNumber'],cardNumber,cardNumber,encryptedCardNumber,encryptedCardNumber,encryptedCardNumber,form--checkout_billing--field--CARD_NUMBER,encryptedCardNumber
1,CreditcardLength,19,19,19,19,19,19,19,19,19,19,19,19,19
1,cvvFieldId,#encryptedSecurityCode,#cvc,"//*[contains(@id,'adyen-checkout-encryptedSecurityCode')]",#cvc,"//*[contains(@id,'adyen-checkout-encryptedSecurityCode')]",#cvc,"//*[contains(@id,'adyen-checkout-encryptedSecurityCode')]","//*[contains(@id,'adyen-checkout-encryptedSecurityCode')]","//*[contains(@id,'encryptedSecurityCode')]","//*[contains(@id,'encryptedSecurityCode')]","//*[contains(@id,'encryptedSecurityCode')]",#cvc,#encryptedSecurityCode
1,pcMonthYear,#encryptedExpiryDate,#expiryDate,"//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]",#expiryDate,"//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]",#expiryDate,"//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'adyen-checkout-encryptedExpiryDate')]","//*[contains(@id,'encryptedExpiryDate')]","//*[contains(@id,'encryptedExpiryDate')]","//*[contains(@id,'encryptedExpiryDate')]",#expiryDate,#encryptedExpiryDate
1,enterCcName,,,"//*[contains(@id,'adyen-checkout-holderName')]",,"//*[contains(@id,'adyen-checkout-holderName')]",,"//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]","//*[contains(@id,'adyen-checkout-holderName')]",,
1,adyenpassword,//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer'],//input[@class='input-field' or @name='answer']
1,clickonadyenbutton,"//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]","//button[contains(text(),'Continue')]"
1,placeOrder,"//button[contains(@class,'js-chckt-button--submit')]","//*[contains(@class,'elc-radio-pay-button elc-button-spinner')]","//*[contains(@class,'adyen-checkout__button adyen-checkout__button--pay')]","//*[contains(@class,'elc-radio-pay-button elc-button-spinner')]","//*[contains(@class,'adyen-checkout__button adyen-checkout__button--pay')]","//*[contains(@class,'elc-radio-pay-button elc-button-spinner')]",//*[@class='adyen-checkout__button adyen-checkout__button--pay'],//*[@class='adyen-checkout__button adyen-checkout__button--pay'],"//*[contains(@class,'adyen-checkout__button--pay')] | //*[contains(@class,'js-chckt-button--submit')]","//*[contains(@class,'adyen-checkout__button--pay')] | //*[contains(@class,'js-chckt-button--submit')]","//*[contains(@class,'adyen-checkout__button--pay')] | //*[contains(@class,'js-chckt-button--submit')]",[data-test-id='placeorder'],"//button[contains(@class,'js-chckt-button--submit')]"
1,confirmplaceorder,,,,,,,,,,,,,
1,orderPagepopupClose,"//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//div[contains(@class,'brdialog-close invitation-navigation-element')] | //button[contains(@class,'brdialog-close invitation-navigation-element')]",[class='brdialog-close invitation-navigation-element'],"//div[contains(@class,'brdialog-close invitation-navigation-element')] | //button[contains(@class,'brdialog-close invitation-navigation-element')]","//div[contains(@class,'brdialog-close invitation-navigation-element')] | //button[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//div[contains(@class,'brdialog-close invitation-navigation-element')] | //button[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]","//button[contains(@class,'brdialog-close invitation-navigation-element')] | //div[contains(@class,'brdialog-close invitation-navigation-element')]"
1,signupRegisterPWD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD,,#form--completed_checkout_registration--field--PASSWORD,#form--completed_checkout_registration--field--PASSWORD
1,loySignupRegTerms,,[for='form--completed_checkout_registration--field--LOYALTY_ACTIVE_FLAG'],,//input[@data-test-id='form_tc' or @id='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG' or @name='LOYALTY_ACTIVE_FLAG'],//*[@id='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],//*[@data-test-id='form_tc'],[for='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],[for='form--completed_checkout_registration--field--LOYALTY_ACTIVE_FLAG'],,,,[for='form--loyalty_join--field--LOYALTY_ACTIVE_FLAG'],
1,accTermsCond,,[for='form--completed_checkout_registration--field--ACCEPTED_PRIVACY_POLICY'],,,,,,,,,,,
1,birthMonth,,,,,,,,,,,,form--loyalty_join--field--BIRTH_MONTH,
1,birthDay,,,,,,,,,,,,form--loyalty_join--field--BIRTH_DAY,
1,signupRegisterButton,//input[@data-test-id='form_completed_checkout_registration_submit' or @class='button green_bg' or @value='CREATE ACCOUNT'],[data-test-id='form_completed_checkout_registration_submit'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='checkout__button'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='button green_bg' or @value='CREATE ACCOUNT'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='button green_bg' or @value='CREATE ACCOUNT'],//*[@data-test-id='form_completed_checkout_registration_submit'],//*[@data-test-id='form_completed_checkout_registration_submit'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='form-submit checkout__button' or @value='Create an Account'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='js-checkout-guest-sign-up'],//input[@data-test-id='form_completed_checkout_registration_submit'],[class='signin__btn js-checkout__loyalty__register'],[data-test-id='form_completed_checkout_registration_submit'],//input[@data-test-id='form_completed_checkout_registration_submit' or @class='button green_bg' or @value='CREATE ACCOUNT']
1,enterNewuserZipcode,,,,,,,,,#form--loyalty--field--POSTAL_CODE,//input[@id='form--loyalty--field--POSTAL_CODE' or @data-test-id='form_loyalty_postal_code'],,,
1,mobCheckoutViewcart,//*[@data-test-id='cart_button_continue'],//a[@data-test-id='cart_primarycheckout_unhide' or @class='js-checkout-buttons-unhide'],//*[@id='sticky-checkout-button']/a[1],//a[@data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout_unhide'],#sticky-checkout-button a.js-checkout-buttons-unhide,//a[@data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout_unhide'],//a[@data-test-id='cart_primarycheckout_unhide'],//*[@id='sticky-checkout-button']/a,//*[@data-test-id='cart_button_continue']
1,mobCheckoutCreditcard,//*[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout' or @class='afterpay-eligible'],//div[@id='sticky-checkout-button-overlay']/a[2],//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],#sticky-checkout-button-overlay a.checkout-buttons-content__item.button.continue-checkout,//a[@data-test-id='cart_primarycheckout'],//a[@data-test-id='cart_primarycheckout'],//*[@id='sticky-checkout-button-overlay']/div/div[2]/a[1],//*[@id='sticky-checkout-button-overlay']/div/div/div/a[1],//*[@data-test-id='cart_primarycheckout']
1,mobContinueSample1,"//*[contains(@class,'samples-content__button samples-content__button--checkout')]/input","//input[contains(@class,'mobile_sticky_bottom')]",//div[@class='samples-content__button--checkout']//a[@data-test-id='form_checkout_samples_continue'],//div[@class='samples__button--skip-link']//a,//*[@href='/checkout/signin.tmpl'],//*[@data-test-id='form_checkout_samples_continue'],//*[@data-test-id='form_checkout_samples_continue'],//a[@data-test-id='form_checkout_samples_continue' or @class='js-continue-checkout-button'],//div[@data-test-id='form_checkout_samples_continue'],//div[@data-test-id='form_checkout_samples_continue'],//*[@data-test-id='form_checkout_samples_continue'],"//div[contains(@class,'js-continue-checkout')] //a","//*[contains(@class,'samples-content__button samples-content__button--checkout')]/input"
1,mobContinueSample2,"//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]",,,//input[@data-test-id='form_checkout_samples_continue' or @id='add-samples'],//input[@data-test-id='form_checkout_samples_continue' or @id='add-samples'],//input[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],//input[@data-test-id='form_checkout_samples_continue' or @class='btn-primary form-submit' or @value='Continue Checkout'],,"//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]","//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]",,,"//*[contains(@class,'js-wp-samples-content-tray-cta-continue-button')]"
1,mobGuestUserLink,,,,//a[@data-test-id='form_signin_registernow'],//a[@data-test-id='form_signin_registernow'],"//*[contains(@class,'js-continue-guest-link')]","//*[contains(@class,'js-continue-guest-link')]",,"//*[contains(@class,'js-new-user-link signin-panel__link')]","//*[contains(@class,'js-new-user-link signin-panel__link')]",,,
